id_caserne,no_caserne,adresse,nom_ssi,coord_x,coord_y
"1259","4","1 rue Principale, Lac-Édouard, Qc. G0X 3N0",SSI La Tuque,-72.2802828617508,47.6610104627596
"334","52","588-A, boul. Forillon (Rosebridge) Gaspé G4X6T8",SSI Gaspé,-64.4784022937788,48.867582954198
"361","51","389, avenue Miller  Murdochville G0E1W0",SSI Murdochville,-65.4969677273588,48.9530794712017
"1260","3","2 rue de l'Hôtel-de-Ville, Parent, QC. G0X 3P0",SSI La Tuque,-74.6128878893928,47.9198758099308
"171","1","486, rue de la Montagne, Notre-Dame-de-Montauban G0X 1W0 Notre-Dame-de-Montauban G0X1W0",SSI Notre-Dame-de-Montauban,-72.3082850843499,46.875212715135
"472",70 - SC,"  6 chemin de Béthanie, Sainte-Christine J0H1H0",SSI Sainte-Christine,-72.4273529709514,45.6154116585697
"1311","2",1 7e Avenue Ouest Macamic J0Z2S0,RIIR-Roussillon (R4901),-79.0025877021026,48.7556439531971
"507","10",223 rue Principale St-Damase Saint-Damase J0H1J0,SSI Saint-Damase,-73.0137896211264,45.5230337855942
"508","55",290 rue St-Jean-Baptiste ( route 227)  Sainte-Madeleine J0H1S0,SSI Sainte-Marie-Madeleine,-73.0942747607831,45.5920599459094
"549","3","187, montée de la Baie, Pointe-Calumet J0N1G2",SSI Pointe-Calumet,-73.9693720785135,45.4977251599825
"553","1","287, montée Saint-Vincent, Saint-Placide J0V2B0",SSI Saint-Placide,-74.2054825008923,45.5343114816051
"475","10","41, rue Trahan Pierreville Pierreville J0G1J0",RIM-Pierreville/Saint-François (R4105),-72.810917013289,46.0694210580372
"588","8","315, rue du Parc, Saint-Eustache J7R6P4",SSI Saint-Eustache,-73.921775575102,45.5663264302565
"67","21",  1222 rue du Pont Saint-Lambert-de-Lauzon G0S2W0,SSI Saint-Lambert-de-Lauzon,-71.20539778136,46.5922136385986
"617","60",379 Rg Bas St-Amable St-Barnabé-Sud Saint-Barnabé-Sud J0H1G0,R.I.P.I. du Nord des Maskoutains,-72.9119456134041,45.737587824127
"618","40","1427, Ste Catherine S-Jude Saint-Jude J0H1P0",SSI Saint-Jude,-72.9877833634229,45.7732013364343
"620","68","926, rue Principale Saint-Paul-d'Abbotsford Saint-Paul-d'Abbotsford J0E1A0",SSI Saint-Paul-d'Abbotsford,-72.8854915669113,45.4373196963124
"628","53","61, chemin de Marieville Rougemont Rougemont J0L1M0",SSI Rougemont,-73.0713195909131,45.4441502688448
"633","52","1111, avenue Saint-Paul Saint-Césaire Saint-Césaire J0L1T0",SSI Saint-Césaire,-73.0038633216337,45.4103477955663
"640","29","29, Monseigneur-Phaneuf Saint-Mathias-sur-Richelieu J3L6A5",SSI Saint-Mathias-sur-Richelieu,-73.2674697190928,45.4754628506135
"648","4","6741, boul. Laurier, Terrebonne J7M1H1",SSI Terrebonne,-73.7242454618909,45.7636978590967
"651","80","1179, rue Notre-Dame, Saint-Sulpice J5W3W1",SSI Saint-Sulpice,-73.3507080132852,45.8286201237259
"670","70","520, Route 341, L'Épiphanie J5X4A6",SSI Repentigny,-73.4878572084369,45.8423384294634
"671","1","3305, boul. de la Grande-Allée, Boisbriand J7H1H5",SSI Boisbriand,-73.8556075244802,45.6266798596761
"1408","1",9 Route Principale Ouest La Pêche J0X2W0,SSI La Pêche,-76.0384449739189,45.6402093687568
"572","17","245, chemin de Beauce, Beauharnois J6N2N5",SSI Beauharnois,-73.8618078181588,45.3082460638424
"684","30","338, rue Saint-Paul, Repentigny J5Z4H9",SSI Repentigny,-73.4831180082574,45.7586026794619
"685","1","111, Montée Gagnon, Bois-des-Filion J6Z4T5",SSI Bois-des-Filion,-73.7647463899901,45.6678156107886
"686","1","2929, rue Dupras, Mascouche J7K1T3",SSI Mascouche,-73.603737845,45.7472027761267
"687","1","790, rue de la Mairie, Blainville J7C4K4",SSI Blainville,-73.8631650242458,45.6732504725123
"775","4","1145, chemin Principal, Saint-Joseph-du-Lac J0N1M0",SSI Saint-Joseph-du-Lac,-74.0077640904086,45.5350904680253
"625","30","	630 10e Avenue Richelieu J3L4E4",SSI Richelieu,-73.2448796397446,45.4442632483088
"782","18","2107, chemin du Tour du lac, Nominingue J0W1R0",SSI Nominingue,-75.0267010458422,46.3901578457573
"784","7","  4, rue Filion, Kiamika J0W1G0",SSI Rivière Kiamika,-75.3770218585511,46.4179257221166
"796","19","59, rue Principale Est, L'Ascension J0T1W0",SSI L'Ascension,-74.8219125559931,46.5472231116573
"797","15","  1520, chemin du Rapide, Rivière-Rouge J0T1T0",RISI Vallée de la Rouge,-74.8649273163185,46.3999382780226
"829","6","135, rue Saint-Joseph, Lac-des-Écorces J0W1H0",SSI Rivière Kiamika,-75.3580510532346,46.5062960711849
